,GARCH,EGARCH,GJR-GARCH,HAR-RV,LightGBM,XGBoost,Ensemble,actual
2022-01-03,0.13937721226903727,0.15523305089089243,0.1214976021105292,0.1308071895382254,0.11916915781421474,0.10172071,0.1297845198738258,0.14258475057137224
2022-01-04,0.13161652922215786,0.14340101210769668,0.11674681392503089,0.10130729635594826,0.11942491777422187,0.109613426,0.11744958111744268,0.15652742059814256
2022-01-05,0.16529613899960222,0.17090645287612413,0.17848569559965244,0.09289690049451388,0.15751605574104782,0.1563724,0.13856969841172131,0.07464085950117058
2022-01-06,0.15500885620217436,0.15780489112857848,0.16854801869250952,0.1339796866953355,0.14549768210717093,0.15640962,0.14482874166822693,0.12608389998226374
2022-01-07,0.1473594379933941,0.15093093112902262,0.16189976639395953,0.13532263692882301,0.14392545724176264,0.15017748,0.14220251072132659,0.12288561274337705
2022-01-10,0.13897204367770669,0.14127931092687748,0.15360470910721172,0.1384530453568486,0.14476505073780077,0.14919856,0.14073004659078536,0.1798773455345848
2022-01-11,0.14061286996280675,0.14667044171304822,0.14645996254308707,0.14052917203093196,0.13479601134802627,0.15045929,0.13864601778058833,0.18150377879553048
2022-01-12,0.1335934792249577,0.13936603242995244,0.13929341083266805,0.15233034065173298,0.1386600645204645,0.14066558,0.14152796146571842,0.19685771598024332
2022-01-13,0.1493400755157039,0.15556405419883337,0.16712645621231367,0.11262918618468917,0.15142075406723124,0.15520544,0.13779667192254144,0.21623811843943475
2022-01-14,0.14059754618988055,0.14387182614298977,0.15803764467739456,0.13301362670445405,0.15189337846944917,0.16902542,0.14183485045459457,0.2170511314399093
2022-01-18,0.16790533045658115,0.16913208610233127,0.199222643602112,0.13011460691677976,0.1749607881764585,0.1750734,0.1576602418499398,0.19315884253338997
2022-01-19,0.16628565683714458,0.17287039999505643,0.19968198297557357,0.15661467115460373,0.23228846038950007,0.22339843,0.18506292946041614,0.18067988991194986
2022-01-20,0.1675264289568105,0.1787239352171394,0.20360122633150332,0.1588246964962492,0.2827096535919131,0.30282864,0.2030202596816576,0.16705019292215537
2022-01-21,0.1893189399696979,0.19930121709925344,0.23435389798313047,0.17264064034005064,0.30026746402135285,0.3402932,0.2207423481103671,0.1967053830506349
2022-01-24,0.1773416205659243,0.185637262316487,0.219737825055744,0.18634243950930932,0.3610939282529429,0.39753067,0.24159266277605884,0.2365370610887132
2022-01-25,0.17918410367637783,0.19124717577613762,0.2237305651078728,0.19224020425803448,0.3246770396574055,0.31203356,0.23203378253060594,0.2252743478188744
2022-01-26,0.16769079756926508,0.17708725528695685,0.21018502680044246,0.18286071460371173,0.3470923236583374,0.336262,0.23254794527710476,0.234666512717277
2022-01-27,0.15990870106949498,0.1705662551921932,0.20113276626586077,0.17747754832106796,0.2985045344574498,0.29818085,0.21196359461600423,0.29039926873671296
2022-01-28,0.20077569265508882,0.20396817202087417,0.1931391680649566,0.16979705937351258,0.23286109820607404,0.25350562,0.2011446167448918,0.23769567559369398
2022-01-31,0.21392671152311404,0.22107619289170924,0.18434132558133298,0.181341885822195,0.16704965149667975,0.1705218,0.18743941628066293,0.1988705894450535
2022-02-01,0.2026266786549804,0.2112659220289463,0.17412124911795415,0.19989933604155533,0.18410933931786072,0.16103026,0.19554511800479882,0.2017905094216545
2022-02-02,0.19579828692376636,0.20828192737585924,0.1651218577159741,0.19749465053242893,0.16532162496282315,0.15251641,0.1862048541396728,0.21623159120031135
2022-02-03,0.22820885338420105,0.23567691099638938,0.23444656551923296,0.20523598106556334,0.16964756075750562,0.17070581,0.20103079840242333,0.18129744097168696
2022-02-04,0.21396497704864462,0.22296020933615396,0.21993554064716264,0.23721690462338427,0.17537435481095318,0.16708381,0.2088520788276607,0.22365457721615395
2022-02-07,0.20013953875114535,0.20809887814830286,0.20809088340818838,0.2179957214364965,0.17474644744327453,0.1871414,0.19762723587697215,0.22377324306479723
2022-02-08,0.19218777464038841,0.20271723329353308,0.19601451382479926,0.19948169764124124,0.18403667051591754,0.19548267,0.1919020475991824,0.24265419900198937
2022-02-09,0.1962893122630986,0.21134559098703176,0.18593786326866393,0.1995811949572396,0.15215682671013392,0.15778832,0.18267577797682408,0.22011490170549322
2022-02-10,0.20921033583075307,0.22642205409432,0.21785077883990348,0.2049350376767436,0.1914655718582498,0.19585049,0.20187031512191547,0.23385443353029778
2022-02-11,0.22182881805411175,0.23964580545167802,0.24537876162444566,0.18383394932865027,0.18200601676921746,0.20165993,0.19588959471732648,0.1969993382295615
2022-02-14,0.20734233598938098,0.22301163660033527,0.2314534974802145,0.2013242657572223,0.23097662603602012,0.21195956,0.21321440926087445,0.20808812889904968
2022-02-15,0.21164922563861213,0.23060366196000248,0.21850055077703368,0.20348535180661878,0.18685426472856514,0.17546293,0.20066294739126533,0.21993723593628894
2022-02-16,0.19703286609857965,0.20934151490127234,0.20511345569004974,0.21442510523820926,0.1987963235098084,0.20587115,0.20341809828219912,0.24380687037115845
2022-02-17,0.2186832947915008,0.22995855770834056,0.2452206430678552,0.20548562174383952,0.20441652965633064,0.21173376,0.20952848206389033,0.24704962244006823
2022-02-18,0.20724984902215027,0.219965821757249,0.2352750162784065,0.21465199803039822,0.19899761069790342,0.20734933,0.2069664859168173,0.2423387068573485
2022-02-22,0.20108031782159755,0.21801495756850703,0.2320509978067072,0.1974728895046703,0.20210638399908765,0.22365859,0.2002198637751185,0.25641078469354994
2022-02-23,0.2138310456020257,0.23246581233794428,0.254262306844161,0.20131909676397194,0.240408326095922,0.24424556,0.21851948948730657,0.25600007222790216
2022-02-24,0.21531891049198854,0.2365954715454955,0.23924543406438625,0.20504323074934452,0.25148767255559956,0.2700561,0.22394993793231088,0.23627632266359982
2022-02-25,0.2349043441220999,0.2542697426893877,0.22704933397320598,0.21670689463430481,0.20815391012819712,0.22003157,0.21992171629486726,0.1853388534851244
2022-02-28,0.21858091726946818,0.23358354734646375,0.2136727597684654,0.21909571316000157,0.2359581145634673,0.22595316,0.2245449149976457,0.28159542865240145
2022-03-01,0.22091262548016588,0.23908976733258405,0.2290399842805063,0.22002121210855652,0.2748114310426582,0.27900696,0.23858175621046018,0.2639996863865374
2022-03-02,0.22952944874762365,0.24924739712074825,0.2168805314794574,0.22923438207426938,0.23950896575279754,0.23260559,0.23275759885823022,0.2914599217761004
2022-03-03,0.2152509553349646,0.23417274142473288,0.2070078351004916,0.2314346988140857,0.20037295181293685,0.19519213,0.21568620198732905,0.2906583366579389
2022-03-04,0.2050649858067902,0.22457006395596424,0.2025593654125916,0.22259912498576148,0.23490811668315958,0.2625836,0.22085740915857044,0.29977096784466556
2022-03-07,0.253143590064594,0.2638237347402379,0.2850951573704989,0.19712892185584333,0.24819305161711497,0.2563581,0.23282185451251744,0.21774303944494555
2022-03-08,0.2389434717872038,0.24915776494069178,0.27085775046726557,0.2405942996437576,0.28905979815487093,0.27466828,0.25619918986194407,0.25955771540676953
2022-03-09,0.26278798364753575,0.27281488524914854,0.25689381348215684,0.2334381361017766,0.25678142099416895,0.28679934,0.25100251358116044,0.24417184128130373
2022-03-10,0.2449777866834198,0.2518517663833254,0.24278719713643349,0.24743791590070036,0.22465725007077023,0.22714725,0.23902431755163014,0.25744539345465783
2022-03-11,0.23873966198971952,0.250759003324148,0.24551354976842873,0.2506887252702499,0.19627952387417535,0.20529456,0.2285693037113816,0.25392034322604845
2022-03-14,0.22564154510641896,0.2381919943793414,0.23622898128527395,0.2617103491872291,0.22212573218048998,0.25277233,0.23649254215804602,0.24837217187056623
2022-03-15,0.24046491000727208,0.2553129199119275,0.22427644110139514,0.22306587589163238,0.18797871288777293,0.19698282,0.21716983292889247,0.21317193012029678
2022-03-16,0.25486443843423523,0.2704336802004925,0.21361223029464835,0.24093734764755198,0.17183709489417814,0.1708869,0.2225462936586551,0.1686105524310903
2022-03-17,0.24614785199806305,0.26478965137790966,0.20188049741046396,0.23170377978839204,0.18098266775031258,0.19418848,0.2196114331789226,0.17624359386606472
2022-03-18,0.2374581194323985,0.25772661014612464,0.19102791804787908,0.23554816190692268,0.1689243933626541,0.18026839,0.2139768915673251,0.15991588388192204
2022-03-21,0.22067804490520448,0.23335526397470807,0.18021556903656322,0.23140545748900088,0.21077805106268202,0.22513306,0.2209538511522958,0.16768494047736177
2022-03-22,0.2145876134163066,0.2305955533205953,0.17116474445107016,0.2309658266685052,0.1670482171442528,0.1661928,0.20420055240968824,0.17096637801880615
2022-03-23,0.2111881771267047,0.23136611098275295,0.1836081044979762,0.2131751557604666,0.16804550747783012,0.17293127,0.19746961345500047,0.15347015460496774
2022-03-24,0.2119378716743752,0.23551227785921344,0.17479561029445218,0.18965501715497676,0.16472611398948692,0.16989952,0.18877300093961294,0.16085522515068254
2022-03-25,0.19935934785182455,0.22092277324189794,0.16548120487805304,0.1879971067591633,0.1646504096623723,0.17234677,0.18400228809112004,0.15865527443340008
2022-03-28,0.19006790335810064,0.21248746374037203,0.15715707982224844,0.17526987587556206,0.1614458786290828,0.16003133,0.17559455262091517,0.16090267875278133
2022-03-29,0.18988096665285611,0.21432202622772834,0.15036224503717707,0.17350747919537005,0.14643608633562707,0.14354774,0.16994151072795108,0.16263864447134369
2022-03-30,0.18072773400523331,0.2061439249637868,0.14963675286705017,0.17209499333133446,0.15845014546813121,0.15247637,0.17042429093489966,0.1710194724585399
2022-03-31,0.19026445649845616,0.21575068703975778,0.1801513136202594,0.16337508688564903,0.16035293906046424,0.16555624,0.17133082748152315,0.13270796133508775
2022-04-01,0.17865708794657423,0.2012741885250089,0.17028688704375558,0.16519837655190678,0.15110311426084796,0.15088655,0.16498619291977631,0.1318423771577066
2022-04-04,0.17297968975489944,0.1978374569794583,0.161652625007188,0.16376493493738303,0.14719221653996248,0.15362929,0.1613122804107483,0.16944539780087783
2022-04-05,0.1764428218923218,0.20215362542818688,0.17695842726414665,0.16399520421294553,0.17963903410299548,0.18378901,0.17335902006942092,0.14581238735832303
2022-04-06,0.1737473050215419,0.2011627393272547,0.180713392107555,0.16414621244236477,0.1801014607712488,0.20921797,0.17266499274505184,0.15059813979225395
