,MSE,MAE,RMSE,QLIKE,R2,MZ_R2,N
GARCH,0.005986622210127335,0.05211503894637849,0.07737326547411151,0.3571615996149328,0.2675757968439313,0.30719996512552444,980.0
EGARCH,0.005721073405858648,0.052478580564243975,0.07563777763696292,0.35726768912457935,0.30006396204609187,0.3305411187281458,980.0
GJR-GARCH,0.004927743847748571,0.047858418522754034,0.07019789062178843,0.31346813581462857,0.39712266210168967,0.4173219062480457,980.0
HAR-RV,0.006083514821727864,0.050767940858434446,0.07799688982086314,0.4220622771208631,0.2557216174164778,0.2885181508002716,980.0
LightGBM,0.00519514089498344,0.045590711721552435,0.07207732580349689,0.33563953810704616,0.3644083764205295,0.3697517759590134,980.0
XGBoost,0.005168269681410646,0.04569406938061743,0.0718906786823622,0.33508214873026765,0.36769589423910765,0.37110721037935596,980.0
Ensemble,0.005377995998013444,0.047406240238231624,0.07333482118348311,0.34013664200147936,0.3420372465197298,0.3486899712556498,980.0
