,MSE,MAE,RMSE,QLIKE,R2,MZ_R2,N
GARCH,0.010203806672402057,0.06385242452296411,0.10101389346224636,0.5429624531623288,0.5001938158112806,0.5090020696993064,1090.0
EGARCH,0.010545365548816776,0.06608098944521973,0.10269063028736738,0.5722998413924537,0.4834634676012983,0.4929010575543407,1090.0
GJR-GARCH,0.009561420735277045,0.06042749116555296,0.09778251753394901,0.562532724733574,0.5316593731585528,0.5502874578721613,1090.0
HAR-RV,0.011326436951624625,0.06363430724767832,0.10642573444249574,0.760565262370233,0.4452047735717276,0.452696399857566,1090.0
LightGBM,0.00843498253431198,0.05662887601071776,0.0918421609845499,0.49898062574421026,0.5868349362620254,0.5955308746293544,1090.0
XGBoost,0.008303456826316438,0.05650750972506009,0.09112330561561316,0.4975508105332544,0.5932773713596808,0.6031767883246476,1090.0
Ensemble,0.009363076275605616,0.058653669255488795,0.09676299021633021,0.5327004884471392,0.5413747461292575,0.5420600950328676,1090.0
