,GARCH,EGARCH,GJR-GARCH,HAR-RV,LightGBM,XGBoost,Ensemble,actual
2018-01-02,0.09202207302638162,0.0842466925754537,0.08449982656416356,0.05701527556265752,0.091253297989424,0.08657589,0.08009688219282103,0.0746039462422413
2018-01-03,0.09475778037033557,0.0892200442583058,0.0834037536630767,0.06785474379457848,0.08879834185671684,0.088221826,0.0838036220072103,0.05981363689510879
2018-01-04,0.09406315078515018,0.08967993067220409,0.08241916706358349,0.07547467580290593,0.09051485247272262,0.085624896,0.08668422635359291,0.07238052015865468
2018-01-05,0.09754767011599949,0.0951587372898957,0.0815357349982834,0.08173019036348009,0.09203370760974375,0.0924177,0.09043718936307443,0.07101802375511251
2018-01-08,0.09488673729967224,0.09158028219894973,0.08074390378749458,0.09098863640472943,0.09666450249164209,0.110873275,0.09417995873201458,0.0743827891870872
2018-01-09,0.09233375570500257,0.08831831833807145,0.08003486985449994,0.09320260226766686,0.10232897571556462,0.14829344,0.09595511122941136,0.09936430069898942
2018-01-10,0.0899561023777986,0.08465764442099542,0.0797409700697088,0.08762592955036598,0.11539676364624303,0.1607746,0.09765959852480254,0.0997132971614724
2018-01-11,0.09406035852821429,0.09041572350674974,0.07913777786120371,0.08174831988419032,0.10995024246819127,0.14741522,0.09525297362686529,0.09182451865326013
2018-01-12,0.09707176110725502,0.09492982733287583,0.07859877848801959,0.08453823837028027,0.10208063669501646,0.14259097,0.09456354539085059,0.09697646945094096
2018-01-16,0.0956680401935752,0.09453847366059152,0.08153323795079194,0.08218720942187654,0.11566203339043968,0.12648372,0.09783909433529714,0.09494166507526654
2018-01-17,0.10346232064210799,0.10313471661032776,0.08074166680029919,0.08199990976554711,0.09493441129671422,0.10511099,0.09346554723478977,0.06785144450291208
2018-01-18,0.100255631813635,0.09943836619175567,0.08074490129566321,0.09161818787585241,0.08742788189399285,0.08895668,0.09310056719449343,0.06700907638628381
2018-01-19,0.09933082220214708,0.10004561252922185,0.08003576263830821,0.09495110980813626,0.08037686704750166,0.075694725,0.09155293301926166,0.1025146077650826
2018-01-22,0.10384036752315823,0.10584781667904211,0.07940134587110674,0.09414141573900445,0.07449281222020855,0.07342158,0.09082486516079041,0.0977519695367971
2018-01-23,0.10084847271962458,0.10244411719559458,0.0788342467582949,0.09765345501806584,0.07723226881849286,0.07293881,0.09191139885206108,0.12397705261294645
2018-01-24,0.09759259010928702,0.09688120143165017,0.07841526946805351,0.09860905486864262,0.08181843169673707,0.07770446,0.09267335889155558,0.12396185598401897
2018-01-25,0.09462709056500185,0.09219258326877564,0.07795370554721527,0.08820908231039148,0.07999864794754119,0.08017779,0.08761160694097818,0.12397351555155137
2018-01-26,0.10833248158980108,0.10506283956741753,0.07754192736647517,0.08554967298814653,0.07710948103908614,0.07712307,0.09033054520567792,0.1776113928639731
2018-01-29,0.10947846837158164,0.108633267169152,0.08917337939268259,0.09737306201993536,0.092912449555911,0.08640418,0.09992132664914266,0.34276298528012833
2018-01-30,0.11822201704664756,0.11893819909434371,0.11370893886958314,0.09667150951086369,0.11058254971956054,0.10853538,0.10849202542569059,0.35567065754428745
2018-01-31,0.1135223504691693,0.11172497822294476,0.10996529849564934,0.10750679251050321,0.0912602243623027,0.08528926,0.1040964557806584,0.357430702780078
2018-02-01,0.10921894301733971,0.10570598923836838,0.10662030237533486,0.1124180597618005,0.09379226296482845,0.09945926,0.10514308858132289,0.44889729404925727
2018-02-02,0.148309278308734,0.13429019945966483,0.17552530666093538,0.1172182558021456,0.13648414800524294,0.12969947,0.1340038940387075,0.4352313318210288
2018-02-05,0.24817788893519552,0.2005779761385364,0.32333176748024484,0.13943382494094594,0.36243669435934645,0.42498466,0.250016136078496,0.3328817200771957
2018-02-06,0.2491674101993699,0.2114652062588114,0.30556152928956254,0.20814518002490542,0.314473473500303,0.3128965,0.25726202124152614,0.30997687291856735
2018-02-07,0.2366643090658982,0.202397340094691,0.29078034669562347,0.2307917839799111,0.2914732348049128,0.3444637,0.2529764426169074,0.32210527635270464
2018-02-08,0.2912721536335371,0.24881840083344414,0.37371902601110213,0.25015315217234335,0.3959564683627779,0.36652088,0.3124605913895528,0.19295688012339235
2018-02-09,0.2841734494050305,0.2516125413965175,0.3528836924993145,0.3035060045592939,0.32677216719233665,0.30322197,0.3048172070522204,0.16174509897199013
2018-02-12,0.2765094984454269,0.25155183329906566,0.333311063510459,0.3209737491648639,0.25699742974010353,0.23529229,0.28482689245013143,0.13515605350988263
2018-02-13,0.2613063104384365,0.23621655685062104,0.31493050230471104,0.2924926159807223,0.2650349516312666,0.25955597,0.27294462601680847,0.1394812831783628
2018-02-14,0.2551551735332404,0.2376304587192968,0.29767556309732773,0.2847506031034801,0.18912240731649377,0.1757627,0.2430093946510714,0.1028079182240964
2018-02-15,0.2479989100445291,0.2364121805238649,0.2814837391400174,0.28826851092432026,0.1956034562975132,0.1771301,0.24395695908878753,0.12672543667075278
2018-02-16,0.23431184050257417,0.21894583146396138,0.2662962230316991,0.23308203529886648,0.17011324781713108,0.16665061,0.21250237453952392,0.1514527545867339
2018-02-20,0.22333507027739838,0.2107646323344008,0.25501864760120574,0.20521049749472992,0.1966906636796943,0.17491765,0.20841207715060753,0.1716116507941281
2018-02-21,0.21294060327096198,0.20360207049905374,0.24422583952788962,0.18377291499674667,0.18487364196553036,0.17264125,0.193862386744413,0.18491650960898384
2018-02-22,0.2015810474261784,0.19059972752369267,0.2313809346032156,0.17354357926905817,0.16863550306897768,0.16071054,0.18125337658807142,0.20788239601798222
2018-02-23,0.20605935628927033,0.20006807199203738,0.21935679253251564,0.14731452120937172,0.1257269042603851,0.11742298,0.15970026058634237,0.1782167777632191
2018-02-26,0.2032516624359678,0.20198657776073492,0.2081087757845748,0.15007093913371009,0.12346630130048666,0.12566903,0.15892963429005483,0.17590498109694938
2018-02-27,0.20232459385825263,0.20604072427274686,0.2149368623654571,0.15748915667338265,0.14991741185966184,0.13646254,0.16991038746376572,0.15182272817961862
2018-02-28,0.19918496129997063,0.20683606555068226,0.2169158274545849,0.16703279784089012,0.17549136121047243,0.17121878,0.18056970678377773,0.12956587672238976
2018-03-01,0.19969502886985374,0.21087879731917775,0.22413345281456348,0.17495958859064914,0.1869224792258657,0.1730798,0.18719236556212285,0.0933706446436585
2018-03-02,0.19075855718827436,0.20284536881000703,0.2125761319543481,0.19020647128665336,0.16637383897697233,0.16684978,0.18244628915063335,0.14963249040703464
2018-03-05,0.18856660202683834,0.2032329891275226,0.20176960597019902,0.1855292997077234,0.15235595153577525,0.15777336,0.17548395109011236,0.12808129228963694
2018-03-06,0.17923653237739373,0.19369474960081604,0.19167320839997054,0.18705499208569626,0.15023974613464405,0.1484044,0.17217709019924468,0.13456892104480173
2018-03-07,0.1682663699024641,0.17871995044912467,0.17902215564519147,0.17878023132669735,0.14780739228460738,0.14209916,0.16495133117125627,0.140563539469021
2018-03-08,0.16093932939432018,0.17237851215622804,0.16994034669433908,0.16782690481072865,0.11320802663559681,0.115346774,0.14732475361354855,0.13707475848847406
2018-03-09,0.17557520679286676,0.18675571169498792,0.16153512392743485,0.14666004701483365,0.07142617077905447,0.092449084,0.13122047486225163,0.06303872640180531
2018-03-12,0.16625563767345206,0.17476106017396614,0.15401310573843158,0.15939457536289456,0.08744121970008396,0.089186534,0.13769714424547685,0.11919303875382843
2018-03-13,0.1607598239108995,0.170899404591704,0.15316058344584035,0.1474490162577547,0.1281743395198702,0.1206681,0.14546105989617478,0.11074053033962539
2018-03-14,0.15514791857209892,0.16752330299774193,0.1512097950196777,0.14516477086642293,0.12527300131440805,0.12441855,0.1418618969176433,0.10379805606224597
2018-03-15,0.1472942124452164,0.15613325187356675,0.1443396268981551,0.1449049501269189,0.10579755101149095,0.11997562,0.1326655711945421,0.20851129941120664
2018-03-16,0.14025812116596417,0.14731351255981287,0.13791430827351056,0.14506833411402942,0.10456496413170947,0.11023524,0.12996380647056768,0.2568286652259548
2018-03-19,0.1517432640629613,0.15939954698548145,0.16422663401033863,0.11464763986631854,0.13805893507303943,0.15142529,0.1348166130007731,0.3030377177337269
2018-03-20,0.14429209917359193,0.15021173954024122,0.15625318325244172,0.12876269636898452,0.1321610219112048,0.14344124,0.13507193915126042,0.32715188341981577
2018-03-21,0.13754368037525272,0.14203303303546372,0.1494238044006125,0.12379537699656278,0.12229254514945981,0.12873648,0.12787720084042511,0.3275464307391885
2018-03-22,0.1834863718535938,0.1766983035134917,0.22499250913587207,0.11859990686514785,0.18592589690343506,0.18760285,0.16267072520739223,0.2897913983583645
2018-03-23,0.2037084315531068,0.19848203070742282,0.2571900848364003,0.15540989224414617,0.209061517182384,0.20389338,0.18939328032654568,0.2950764929678594
2018-03-26,0.2349294139976871,0.2266404569629152,0.24260230511875144,0.18448160649192089,0.18545101238107814,0.20764108,0.20162067762356203,0.242496624994376
2018-03-27,0.23804588454215314,0.23561131207288036,0.2580886413864927,0.21302003922975163,0.22317896950567756,0.20987226,0.2247482977591941,0.22397127809615336
2018-03-28,0.22462740916525126,0.22073758175973598,0.24425559290655952,0.2372852669746519,0.2476304481923006,0.22315705,0.23651437477740125,0.22823393190712818
2018-03-29,0.22260447295830296,0.22497979374383992,0.23055137568340467,0.25478965288653477,0.2175653563165294,0.20279875,0.23165316072045572,0.2596600935600523
2018-04-02,0.2386938895264555,0.24241758652066023,0.2668952975670174,0.25041157608279774,0.27305601247374073,0.26692808,0.2540538260276647,0.20557601213073604
2018-04-03,0.2334615401224477,0.2417876526294828,0.2516493853652897,0.2557171970133363,0.24389136142879667,0.22241889,0.24435669952152686,0.21956838070936946
2018-04-04,0.2273916678030888,0.2403115403000562,0.23743913834463293,0.23618371618164272,0.18389677991615172,0.18491161,0.21582405463362775,0.20758611414975453
2018-04-05,0.21698876229614814,0.23037197585784377,0.22420388298068186,0.22387601572340238,0.1302477522407913,0.13494755,0.19037084342011393,0.21008873753331916
2018-04-06,0.2330806067310084,0.24691921132780037,0.26039405631258056,0.21866962448373908,0.20282136636188416,0.19015399,0.21819053252554388,0.14071128148373804
2018-04-09,0.22016555926609985,0.23108720294331453,0.24558857763686692,0.226624496684119,0.199790055800692,0.1956539,0.21552670391697026,0.15009297733460641
2018-04-10,0.22372670202676892,0.23925159945628088,0.23179293393780986,0.20508660975423948,0.16785854142999598,0.1594001,0.19889061773700145,0.11969591713927873
2018-04-11,0.21266616873696964,0.22823180583379063,0.2221933796729182,0.20884810473452403,0.16465883651399515,0.1611568,0.19539103666182958,0.11320193877615056
2018-04-12,0.20477562002097394,0.22161187700780313,0.21001660844076336,0.2047166110201321,0.15995409313129738,0.1517817,0.18981544139080117,0.10523238068666188
2018-04-13,0.1937620375007589,0.20903155118338634,0.19967457151988588,0.20498299949174853,0.14982865660354014,0.1364519,0.1828578978653492,0.11982087954780109
2018-04-16,0.1874637177739834,0.2054310709195671,0.18909083051360778,0.17617809874738724,0.1339566713709564,0.11877718,0.1658661626307757,0.10521288342471181
2018-04-17,0.18503793595151252,0.2052031568024159,0.17927105349200878,0.17516292728211103,0.12049472152811085,0.10796239,0.1602318615872448,0.12061183083689929
2018-04-18,0.17494920241441433,0.19057066415292265,0.17017085590283756,0.15900380498905645,0.12315327873793422,0.109823294,0.152368762047135,0.12117006693952369
2018-04-19,0.16806328116620073,0.18482962386069418,0.16643437594462906,0.15096005529737488,0.12534485959871838,0.117768325,0.14812273202076467,0.1358329877630674
2018-04-20,0.16494012154731386,0.18363881635288695,0.16877336383280803,0.14112384375597709,0.14911807448669767,0.14929211,0.15172734659666287,0.12169086659093899
2018-04-23,0.1562899290341759,0.16953702037500418,0.16045592138339668,0.14406760792883183,0.13346897294915214,0.12752287,0.14460883663738663,0.13496274747035142
2018-04-24,0.1631023297320651,0.17798932209420626,0.17832922854290195,0.13661494370698396,0.15047652060032551,0.14027333,0.15006459801312486,0.09693174902631653
2018-04-25,0.15486702673076821,0.16783153615236773,0.16929865452309648,0.14038400954146288,0.1546329282173579,0.15260145,0.14996132149652966,0.10891263910763707
2018-04-26,0.15601730227621444,0.17194888279341924,0.16094167473534465,0.13979029688931258,0.12935248685304965,0.12611645,0.1417200286728589,0.08178053820553767
2018-04-27,0.14815043804359335,0.16060171988921332,0.15321882871035145,0.14465008156791825,0.11936241172436682,0.12042703,0.13738764377862614,0.12162583719509376
2018-04-30,0.1467572234323248,0.16124780429487268,0.15650883365865223,0.13860042028929137,0.1326764300572304,0.123959266,0.13934469125961554,0.10948508428008455
2018-05-01,0.14008944520041544,0.15350611685771173,0.14912713121098128,0.1427425260956877,0.11658814446487437,0.124058984,0.1331400385869925,0.10799950573204098
2018-05-02,0.1382510501032246,0.15348101088035748,0.1506470909721864,0.1279550062666091,0.12493127370777735,0.12018046,0.13037911002587035,0.11707835292148189
2018-05-03,0.13215692178470206,0.14562847668352114,0.14454571150883672,0.12883609352147143,0.13153745159715127,0.118617676,0.13084348896777492,0.13354861720449385
2018-05-04,0.1414549967788667,0.15590004223493556,0.1381039276818481,0.11546017733068478,0.11836318166824455,0.10656309,0.12509278525926534,0.09906927217404568
2018-05-07,0.13573549125499237,0.14933268583845177,0.13218175536003962,0.12625660867657923,0.10319104251497066,0.10001814,0.12172771414884742,0.09619485909719964
2018-05-08,0.12935989306623707,0.14018826849898075,0.12676007016051835,0.11972630854225567,0.09662074662583603,0.09018826,0.11523564941144293,0.10782211891273154
2018-05-09,0.13258838166785297,0.14479737699149653,0.12115685575751091,0.11858930514422689,0.08598353995502314,0.08410068,0.11238707558903434,0.08816930861375644
2018-05-10,0.13492311213439304,0.14952545748065266,0.11661981040647756,0.1209893784146328,0.08417172941604889,0.07348678,0.11336140665502492,0.05853480119919822
2018-05-11,0.1288750517881501,0.1409351364248291,0.11248820112029562,0.12865428769351853,0.0870132558796986,0.08479439,0.11484753178712241,0.0602472263725467
2018-05-14,0.12311567119189774,0.13251660842687082,0.10873373231052509,0.11581546934253524,0.08925593086212542,0.088223994,0.10939569046551946,0.07950017339092129
2018-05-15,0.1227510840986053,0.13365720738163933,0.11537177000123194,0.11292851196405959,0.10066461831617725,0.10226323,0.11211473812628071,0.06664610666922169
2018-05-16,0.11919197187967402,0.13103916022237244,0.11135324905395107,0.11603857642342748,0.09689232710363502,0.095848374,0.11070762513557884,0.06437521865490207
2018-05-17,0.11424975911387229,0.12310120656501702,0.1078637297031376,0.10759601499999069,0.10127583867047968,0.09935718,0.10770720426144755,0.06568061703562553
2018-05-18,0.11045864628552753,0.11872865526727931,0.10609212905140643,0.09297812429497732,0.09521574801730529,0.099538915,0.09955083953260337,0.06515010945116935
2018-05-21,0.11250881535729654,0.12203728530694245,0.1029384060465566,0.0902527999766895,0.09341595160068815,0.09663928,0.0987258556448914,0.09128786141242078
2018-05-22,0.10922348992015271,0.11875269158740603,0.10238011810606724,0.0945331097859805,0.09853749371174367,0.100300334,0.10076469780595894,0.1259285968260172
2018-05-23,0.10634182496225303,0.11561919312236979,0.09958568068687301,0.08732905869545188,0.09635567153045657,0.096724756,0.09667551839605382,0.1331531736686288
2018-05-24,0.1029620399723243,0.11133848361954232,0.09805590073492036,0.08459447157292946,0.09448941965796043,0.09800911,0.0940153104010714,0.15294341091137348
2018-05-25,0.10009581494500763,0.10785569770877884,0.0970499326558196,0.08494797805956825,0.09636649420207466,0.09779484,0.0938034290688835,0.15529917325549916
2018-05-29,0.11320254029727411,0.1199082851422281,0.12387938612177077,0.08459043425759696,0.11544542761129348,0.1329049,0.10441280072205485,0.13162030123647717
2018-05-30,0.1259794674197522,0.13264131560987555,0.11910304941653006,0.09272030155223861,0.11640757784508098,0.12365242,0.11170244893902392,0.11388655679630025
2018-05-31,0.12532227612127742,0.13409542165126567,0.12412896527456996,0.10716605696320042,0.11654539698417933,0.114986025,0.11634457668955238,0.10292721009431414
2018-06-01,0.13158137056264094,0.14253551471617235,0.11933083370879392,0.11410258982762544,0.10329061090413921,0.10335544,0.11632485709813518,0.07222398159153733
2018-06-04,0.1275296200584565,0.13902122096422084,0.11495592664880515,0.12661415546160792,0.09552734658343505,0.09377152,0.1165570407011665,0.06532190197544596
2018-06-05,0.12185278801149989,0.1302549748385701,0.1109752436791355,0.13407365896604395,0.10130625572623007,0.09784036,0.11907756756792465,0.06629485476969595
2018-06-06,0.12429885384470751,0.1352086745474102,0.10736093536407196,0.13037228980317117,0.08176139834016342,0.09083153,0.11214418066268071,0.03933642774330201
2018-06-07,0.11889550108220863,0.1263939670103937,0.10420150353212529,0.1242047231229084,0.09672161328505771,0.094140634,0.11327394583005825,0.04276378176319995
2018-06-08,0.11498134485959087,0.12256606939914101,0.10122972558823248,0.11878071847681657,0.09429593838891726,0.093921505,0.10935266724177489,0.037282642150608405
2018-06-11,0.110453734554119,0.11548849829263409,0.09854838437389772,0.10369341432078093,0.09530801974156623,0.09543054,0.10315172287215539,0.03950705856344709
2018-06-12,0.10655768791590119,0.11095126458714752,0.09613408962104338,0.09484807377929266,0.09130822154760199,0.09534524,0.09757132774759862,0.04719159945662471
2018-06-13,0.10464986258674058,0.10995883700811314,0.09795208108917314,0.08990938849303033,0.09801304520225401,0.09279431,0.09752409876067497,0.03942423273455623
2018-06-14,0.10168257404289979,0.10614230805896702,0.09559785670833847,0.0761299647015529,0.09194515854681995,0.0932993,0.08991923243042421,0.05735409465808916
2018-06-15,0.09835843059484894,0.10110500474301888,0.09374341504799656,0.0724134015682461,0.09188965008997453,0.092408545,0.08755382741768986,0.05840977956012019
2018-06-18,0.09581839745175941,0.09815198447533684,0.09297338802308935,0.06765975159030094,0.09327646377142211,0.09584867,0.08558487093782748,0.11317693634380314
2018-06-19,0.09512094224985333,0.09804197371756229,0.09523190622199723,0.06603836349706191,0.09291548263524575,0.09338678,0.08469159612738701,0.11060865221572729
2018-06-20,0.09269214566769009,0.0944829850290137,0.09315503654706234,0.0668653877636235,0.09367816390816608,0.09011131,0.08441189911315988,0.12589877606392857
